benchmark,lru_miss_rate,rri_miss_rate,lru_compile_hit_rate,rri_compile_hit_rate,lru_prefetch_cold_memory_accesses,rri_prefetch_cold_memory_accesses,lru_prefetch_cache_hits,rri_prefetch_cache_hits,lru_prefetch_prefetches_inserted,rri_prefetch_prefetches_inserted,lru_prefetch_expected_wait_time,rri_prefetch_expected_wait_time
bose_hubbard_q,11.879,7.345,0.867,0.92,1,1,8879193,9430191,1367393,864981,4.894,5.212
bose_hubbard_t,4.967,1.903,0.953,0.984,0,0,2057339,1349961,95668,26690,0.001,0.955
chromium_q_prepare,6.961,5.054,0.931,0.95,0,0,7952156,8207922,630329,454529,0.549,0.973
chromium_q_select,96.252,54.889,0.037,0.454,0,0,12908830,43350094,83526331,51751182,74.749,80.576
chromium_t,90.999,47.376,0.091,0.529,3491,2365,1450955,7891035,14942017,8694922,56.532,78.197
ethylene_oxide_q_prepare,8.952,6.329,0.911,0.937,0,0,5514215,5752360,578232,409910,1.341,1.737
ethylene_oxide_q_select,30.593,15.512,0.694,0.845,0,0,84140937,100871828,36461167,20244877,19.425,18.487
ethylene_oxide_t,7.456,6.47,0.925,0.935,0,0,3906636,3991742,314780,283002,0.026,1.745
grover_3sat,31.81,29.149,0.683,0.709,614,4,2089679,2189162,973689,912376,5.605,19.646
shor_rsa24,42.956,38.871,0.57,0.611,0,0,1682262,1817878,1266515,1168395,21.792,28.193
