benchmark,active_set_capacity,intermediate_capacity,eviction_policy,rri_1d_hit_rate,rri_placement_rate,ipc
cr2,4,0,eif_baseline,,,0.08
cr2,4,4,rri,0.378,0.258,0.092
cr2,4,4,lru,0.195,1.0,0.07
cr2,4,8,rri,0.555,0.325,0.118
cr2,4,8,lru,0.255,1.0,0.072
cr2,4,16,rri,0.818,0.568,0.221
cr2,4,16,lru,0.425,1.0,0.088
cr2,4,24,rri,0.907,0.81,0.365
cr2,4,24,lru,0.824,1.0,0.268
cr2,4,32,rri,0.94,0.888,0.426
cr2,4,32,lru,0.894,1.0,0.343
h60,4,0,eif_baseline,,,0.118
h60,4,4,rri,0.374,0.298,0.132
h60,4,4,lru,0.188,1.0,0.105
h60,4,8,rri,0.544,0.389,0.161
h60,4,8,lru,0.252,1.0,0.107
h60,4,16,rri,0.771,0.635,0.259
h60,4,16,lru,0.421,1.0,0.121
h60,4,24,rri,0.856,0.773,0.399
h60,4,24,lru,0.732,1.0,0.291
h60,4,32,rri,0.898,0.837,0.458
h60,4,32,lru,0.813,1.0,0.357
ethylene_oxide,4,0,eif_baseline,,,0.162
ethylene_oxide,4,4,rri,0.804,0.604,0.424
ethylene_oxide,4,4,lru,0.541,0.999,0.212
ethylene_oxide,4,8,rri,0.883,0.871,0.543
ethylene_oxide,4,8,lru,0.856,0.999,0.517
ethylene_oxide,4,16,rri,0.921,0.897,0.611
ethylene_oxide,4,16,lru,0.876,0.999,0.532
ethylene_oxide,4,24,rri,0.937,0.901,0.642
ethylene_oxide,4,24,lru,0.912,0.999,0.551
ethylene_oxide,4,32,rri,0.95,0.899,0.67
ethylene_oxide,4,32,lru,0.913,0.999,0.545
hc3h2cn,4,0,eif_baseline,,,0.165
hc3h2cn,4,4,rri,0.771,0.605,0.414
hc3h2cn,4,4,lru,0.545,1.0,0.225
hc3h2cn,4,8,rri,0.838,0.821,0.511
hc3h2cn,4,8,lru,0.815,0.999,0.509
hc3h2cn,4,16,rri,0.853,0.862,0.519
hc3h2cn,4,16,lru,0.835,0.999,0.506
hc3h2cn,4,24,rri,0.863,0.879,0.523
hc3h2cn,4,24,lru,0.842,0.999,0.505
hc3h2cn,4,32,rri,0.871,0.887,0.531
hc3h2cn,4,32,lru,0.843,0.999,0.503
shor_rsa24,4,0,eif_baseline,,,0.26
shor_rsa24,4,4,rri,0.581,0.575,0.438
shor_rsa24,4,4,lru,0.555,0.998,0.424
shor_rsa24,4,8,rri,0.621,0.708,0.459
shor_rsa24,4,8,lru,0.579,0.998,0.435
shor_rsa24,4,16,rri,0.698,0.753,0.571
shor_rsa24,4,16,lru,0.626,0.998,0.544
shor_rsa24,4,24,rri,0.774,0.822,0.619
shor_rsa24,4,24,lru,0.672,0.999,0.574
shor_rsa24,4,32,rri,0.841,0.865,0.674
shor_rsa24,4,32,lru,0.739,0.999,0.626
grover_sat,4,0,eif_baseline,,,0.166
grover_sat,4,4,rri,0.874,0.922,0.476
grover_sat,4,4,lru,0.837,0.992,0.414
grover_sat,4,8,rri,0.995,0.726,0.844
grover_sat,4,8,lru,0.995,0.763,0.843
grover_sat,4,16,rri,0.997,0.502,0.856
grover_sat,4,16,lru,0.997,0.623,0.852
grover_sat,4,24,rri,0.998,0.425,0.859
grover_sat,4,24,lru,0.997,0.527,0.855
grover_sat,4,32,rri,0.998,0.371,0.86
grover_sat,4,32,lru,0.998,0.413,0.858
