benchmark,prefetches_inserted,cache_hits,cold_memory_accesses,total_memory_accesses,prefetch_percentage
bose_hubbard_q,1367393,8879193,1,10246587,13.34486302609835
bose_hubbard_t,95668,2057339,0,2153007,4.443459775095947
chromium_q_prepare,630329,7952156,0,8582485,7.34436471488153
chromium_q_select,83526331,12908830,0,96435161,86.61397993621848
chromium_t,14942017,1450955,3491,16396463,91.12951372500277
ethylene_oxide_q_prepare,578232,5514215,0,6092447,9.490964796246894
ethylene_oxide_q_select,36461167,84140937,0,120602104,30.232612691400472
ethylene_oxide_t,314780,3906636,0,4221416,7.456739634283852
grover_3sat,973689,2089679,614,3063982,31.778548307398673
shor_rsa24,1266515,1682262,0,2948777,42.95051813005866
