intermediate_capacity_i,policy,bose_hubbard_q,bose_hubbard_t,chromium_q_prepare,chromium_q_select,chromium_t,ethylene_oxide_q_prepare,ethylene_oxide_q_select,ethylene_oxide_t,grover_3sat,shor_rsa24
0,baseline,0.109,0.281,0.097,0.011,0.069,0.126,0.017,0.212,0.368,0.221
0,ideal,0.65,0.901,0.638,0.138,0.512,0.714,0.211,0.824,1.04,0.911
4,cache_lru,,,,,,,,,,
4,cache_rri,0.275,0.816,0.315,0.012,0.074,0.364,0.031,0.72,0.571,0.423
4,prefetch_lru,0.358,0.895,0.426,0.036,0.159,0.459,0.048,0.725,0.734,0.714
4,prefetch_rri,,,,,,,,,,
8,cache_lru,0.396,0.832,0.499,0.01,0.053,0.525,0.041,0.766,0.63,0.425
8,cache_rri,0.458,0.867,0.537,0.015,0.097,0.558,0.068,0.774,0.648,0.444
8,prefetch_lru,0.568,0.898,0.632,0.052,0.229,0.685,0.102,0.824,0.95,0.713
8,prefetch_rri,0.57,0.895,0.629,0.026,0.124,0.681,0.091,0.82,0.868,0.663
16,cache_lru,,,,,,,,,,
16,cache_rri,0.601,0.893,0.642,0.032,0.243,0.697,0.105,0.786,0.67,0.495
16,prefetch_lru,0.648,0.897,0.653,0.063,0.336,0.71,0.195,0.824,1.002,0.748
16,prefetch_rri,,,,,,,,,,
24,cache_lru,,,,,,,,,,
24,cache_rri,0.642,0.894,0.654,0.054,0.358,0.709,0.12,0.795,0.688,0.561
24,prefetch_lru,0.653,0.897,0.654,0.117,0.505,0.71,0.211,0.824,1.009,0.788
24,prefetch_rri,,,,,,,,,,
