benchmark,simulation_mode,log_file,intermediate_capacity_i,csm,csd,num_2d_blocks,sum_logical_qubits_in_memory,memory_physical_qubits,ipc
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm34.log,8,34,,66,2252,1847996,0.54
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm64.log,8,64,,35,2248,1893520,0.496
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm98.log,8,98,,23,2262,1248928,0.496
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm194.log,8,194,,12,2336,1070468,0.458
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm322.log,8,322,,7,2262,929760,0.427
bose_hubbard_q,cache,cache/bose_hubbard_q/c4_i8_rri_csm482.log,8,482,,5,2418,924280,0.401
bose_hubbard_q,firstpass,firstpass/bose_hubbard_q/c4_baseline0_i0_csm194.log,0,194,,12,2328,1057008,0.109
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm34.log,8,34,,66,2252,1847996,0.622
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm64.log,8,64,,35,2248,1893520,0.595
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm98.log,8,98,,23,2262,1248928,0.595
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm194.log,8,194,,12,2336,1070468,0.568
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm322.log,8,322,,7,2262,929760,0.548
bose_hubbard_q,prefetch,prefetch/bose_hubbard_q/c4_i8_lru_mld0_csm482.log,8,482,,5,2418,924280,0.525
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm34.log,8,34,,64,2184,1792404,0.883
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm64.log,8,64,,34,2184,1839804,0.876
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm98.log,8,98,,23,2262,1248928,0.876
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm194.log,8,194,,12,2336,1070468,0.867
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm322.log,8,322,,7,2262,929760,0.858
bose_hubbard_t,cache,cache/bose_hubbard_t/c4_i8_rri_csm482.log,8,482,,5,2418,924280,0.847
bose_hubbard_t,firstpass,firstpass/bose_hubbard_t/c4_baseline0_i0_csm194.log,0,194,,12,2328,1057008,0.281
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm34.log,8,34,,64,2184,1792404,0.898
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm64.log,8,64,,34,2184,1839804,0.898
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm98.log,8,98,,23,2262,1248928,0.898
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm194.log,8,194,,12,2336,1070468,0.898
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm322.log,8,322,,7,2262,929760,0.898
bose_hubbard_t,prefetch,prefetch/bose_hubbard_t/c4_i8_lru_mld0_csm482.log,8,482,,5,2418,924280,0.897
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm34.log,8,34,,5,178,152440,0.597
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm64.log,8,64,,3,200,174608,0.566
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm98.log,8,98,,2,204,120892,0.566
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm194.log,8,194,,1,202,101544,0.537
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm322.log,8,322,,1,330,144360,0.51
chromium_q_prepare,cache,cache/chromium_q_prepare/c4_i8_rri_csm482.log,8,482,,1,490,195624,0.495
chromium_q_prepare,firstpass,firstpass/chromium_q_prepare/c4_baseline0_i0_csm194.log,0,194,,1,194,88084,0.097
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm34.log,8,34,,5,178,152440,0.646
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm64.log,8,64,,3,200,174608,0.636
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm98.log,8,98,,2,204,120892,0.638
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm194.log,8,194,,1,202,101544,0.632
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm322.log,8,322,,1,330,144360,0.618
chromium_q_prepare,prefetch,prefetch/chromium_q_prepare/c4_i8_lru_mld0_csm482.log,8,482,,1,490,195624,0.597
chromium_q_select,cache,cache/chromium_q_select/c4_i8_rri_csm34.log,8,34,,0,8,,
chromium_q_select,cache,cache/chromium_q_select/c4_i8_rri_csm64.log,8,64,,3,200,174608,0.018
chromium_q_select,cache,cache/chromium_q_select/c4_i8_rri_csm98.log,8,98,,2,204,120892,0.018
chromium_q_select,cache,cache/chromium_q_select/c4_i8_rri_csm194.log,8,194,,1,202,101544,0.015
