compute_capacity,policy,bose_hubbard_q,bose_hubbard_t,chromium_q_prepare,chromium_q_select,chromium_t,ethylene_oxide_q_prepare,ethylene_oxide_q_select,ethylene_oxide_t,grover_3sat,shor_rsa24
4,baseline,0.109,0.281,0.097,0.011,0.069,0.126,0.017,0.212,0.368,0.221
4,ideal_memory,0.65,0.901,0.638,0.138,0.512,0.714,0.211,0.824,1.04,0.911
4,cache_lru,0.396,0.832,0.499,0.01,0.053,0.525,0.041,0.766,0.63,0.425
4,cache_rri,0.458,0.867,0.537,0.015,0.097,0.558,0.068,0.774,0.648,0.444
4,prefetch_lru,0.568,0.898,0.632,0.052,0.229,0.685,0.102,0.824,0.95,0.713
4,prefetch_rri,0.57,0.895,0.629,0.026,0.124,0.681,0.091,0.82,0.868,0.663
8,baseline,0.184,0.281,0.309,0.012,0.074,0.308,0.021,0.221,0.637,0.252
8,ideal_memory,0.826,0.901,0.938,0.151,0.54,0.959,0.243,0.835,1.117,0.926
8,cache_lru,,,,,,,,,,
8,cache_rri,0.681,0.873,0.874,0.018,0.112,0.897,0.083,0.794,0.852,0.464
8,prefetch_lru,0.763,0.898,0.937,0.055,0.253,0.97,0.123,0.834,0.876,0.785
8,prefetch_rri,,,,,,,,,,
12,baseline,0.209,0.28,0.23,0.013,0.074,0.232,0.023,0.247,0.833,0.286
12,ideal_memory,0.861,0.901,0.946,0.156,0.543,0.939,0.272,0.857,1.135,0.938
12,cache_lru,,,,,,,,,,
12,cache_rri,0.709,0.874,0.913,0.019,0.114,0.912,0.099,0.802,0.956,0.485
12,prefetch_lru,0.796,0.898,0.938,0.056,0.256,0.934,0.151,0.856,0.885,0.792
12,prefetch_rri,,,,,,,,,,
16,baseline,0.238,0.281,0.34,0.013,0.078,0.336,0.021,0.238,0.946,0.315
16,ideal_memory,0.878,0.902,1.026,0.158,0.566,1.034,0.25,0.847,1.14,0.951
16,cache_lru,,,,,,,,,,
16,cache_rri,0.72,0.876,1.006,0.02,0.127,1.02,0.086,0.797,1.013,0.513
16,prefetch_lru,0.815,0.899,1.024,0.057,0.274,1.032,0.128,0.847,0.945,0.823
16,prefetch_rri,,,,,,,,,,
