benchmark,raw_file,compute_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,eif_baseline,0,0,265174,,0.669,0,0.08,88084,,
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,25,265221,0.836,0.669,0,0.101,98024,,34.92606764474013
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,50,265218,0.589,0.669,0,0.158,98024,,89.73356345396688
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,75,265231,0.447,0.669,0,0.131,98024,,96.27793296089385
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,75,265233,0.803,0.669,0,0.157,101544,,69.48845180446783
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,100,265205,0.681,0.669,0,0.187,101544,,92.03554270255142
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,125,265187,0.582,0.669,0,0.157,101544,,98.36819183827087
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,16,150,265195,0.903,0.669,0,0.258,108584,,91.10517810721562
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,16,175,265237,0.866,0.669,0,0.285,108584,,96.87517081792176
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,16,200,265185,0.836,0.669,0,0.273,108584,,98.86077377147798
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,24,200,265200,0.992,0.669,0,0.549,81256,,98.09758954149059
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,24,225,265182,0.987,0.669,0,0.551,81256,,98.62117279921029
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,24,250,265263,0.981,0.669,0,0.545,81256,,99.09908465718729
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,32,250,265170,1.0,0.669,0,0.629,88296,,99.77207799303746
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,32,275,265203,0.999,0.669,0,0.628,88296,,99.7704703016676
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,32,300,265213,0.999,0.669,0,0.627,88296,,99.81083700716006
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,eif_baseline,0,0,213083,,0.723,0,0.086,88084,,
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,4,25,213198,0.819,0.723,0,0.113,98024,,24.658713271331916
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,4,50,213182,0.592,0.723,0,0.186,98024,,81.68027628054094
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,4,75,212838,0.445,0.723,0,0.158,98024,,97.37424461656312
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,8,75,212636,0.784,0.723,0,0.169,101544,,60.016866334300666
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,8,100,212678,0.665,0.723,0,0.216,101544,,88.0481761078776
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,8,1000000,singlepass_eif,8,125,212937,0.577,0.723,0,0.191,101544,,98.4324467031879
