binary,label,scheduler_hint,compute_cap,intermediate_cap,mld,factory_budget,ipc,mem_phys_qubits,sim_miss_rate_pct
cr2_eif_c8.bin,cr2_eif_c8,eif,8,0,,10000,0.068,88084,
cr2_eif_c8.bin,cr2_eif_c8,eif,8,0,,25000,0.083,88084,
cr2_eif_c8.bin,cr2_eif_c8,eif,8,0,,50000,0.086,88084,
cr2_eif_c8.bin,cr2_eif_c8,eif,8,0,,100000,0.086,88084,
cr2_sp4_mld50_c8.bin,cr2_sp4_mld50_c8,singlepass,8,4,50,10000,0.118,98024,
cr2_sp4_mld50_c8.bin,cr2_sp4_mld50_c8,singlepass,8,4,50,25000,0.177,98024,
cr2_sp4_mld50_c8.bin,cr2_sp4_mld50_c8,singlepass,8,4,50,50000,0.186,98024,
cr2_sp4_mld50_c8.bin,cr2_sp4_mld50_c8,singlepass,8,4,50,100000,0.186,98024,
cr2_sp8_mld100_c8.bin,cr2_sp8_mld100_c8,singlepass,8,8,100,10000,0.13,101544,
cr2_sp8_mld100_c8.bin,cr2_sp8_mld100_c8,singlepass,8,8,100,25000,0.21,101544,
cr2_sp8_mld100_c8.bin,cr2_sp8_mld100_c8,singlepass,8,8,100,50000,0.216,101544,
cr2_sp8_mld100_c8.bin,cr2_sp8_mld100_c8,singlepass,8,8,100,100000,0.216,101544,
cr2_sp16_mld175_c8.bin,cr2_sp16_mld175_c8,singlepass,8,16,175,10000,0.171,74216,
cr2_sp16_mld175_c8.bin,cr2_sp16_mld175_c8,singlepass,8,16,175,25000,0.364,74216,
cr2_sp16_mld175_c8.bin,cr2_sp16_mld175_c8,singlepass,8,16,175,50000,0.437,74216,
cr2_sp16_mld175_c8.bin,cr2_sp16_mld175_c8,singlepass,8,16,175,100000,0.438,74216,
cr2_sp24_mld225_c8.bin,cr2_sp24_mld225_c8,singlepass,8,24,225,10000,0.188,81256,
cr2_sp24_mld225_c8.bin,cr2_sp24_mld225_c8,singlepass,8,24,225,25000,0.47,81256,
cr2_sp24_mld225_c8.bin,cr2_sp24_mld225_c8,singlepass,8,24,225,50000,0.653,81256,
cr2_sp24_mld225_c8.bin,cr2_sp24_mld225_c8,singlepass,8,24,225,100000,0.655,81256,
cr2_sp32_mld275_c8.bin,cr2_sp32_mld275_c8,singlepass,8,32,275,10000,0.188,88296,
cr2_sp32_mld275_c8.bin,cr2_sp32_mld275_c8,singlepass,8,32,275,25000,0.476,88296,
cr2_sp32_mld275_c8.bin,cr2_sp32_mld275_c8,singlepass,8,32,275,50000,0.689,88296,
cr2_sp32_mld275_c8.bin,cr2_sp32_mld275_c8,singlepass,8,32,275,100000,0.696,88296,
ethylene_oxide_eif_c8.bin,ethylene_oxide_eif_c8,eif,8,0,,10000,0.109,141800,
ethylene_oxide_eif_c8.bin,ethylene_oxide_eif_c8,eif,8,0,,25000,0.153,141800,
ethylene_oxide_eif_c8.bin,ethylene_oxide_eif_c8,eif,8,0,,50000,0.161,141800,
ethylene_oxide_eif_c8.bin,ethylene_oxide_eif_c8,eif,8,0,,100000,0.161,141800,
ethylene_oxide_sp4_mld50_c8.bin,ethylene_oxide_sp4_mld50_c8,singlepass,8,4,50,10000,0.193,151740,
ethylene_oxide_sp4_mld50_c8.bin,ethylene_oxide_sp4_mld50_c8,singlepass,8,4,50,25000,0.463,151740,
ethylene_oxide_sp4_mld50_c8.bin,ethylene_oxide_sp4_mld50_c8,singlepass,8,4,50,50000,0.544,151740,
ethylene_oxide_sp4_mld50_c8.bin,ethylene_oxide_sp4_mld50_c8,singlepass,8,4,50,100000,0.547,151740,
ethylene_oxide_sp8_mld100_c8.bin,ethylene_oxide_sp8_mld100_c8,singlepass,8,8,100,10000,0.197,129340,
ethylene_oxide_sp8_mld100_c8.bin,ethylene_oxide_sp8_mld100_c8,singlepass,8,8,100,25000,0.552,129340,
ethylene_oxide_sp8_mld100_c8.bin,ethylene_oxide_sp8_mld100_c8,singlepass,8,8,100,50000,0.819,129340,
ethylene_oxide_sp8_mld100_c8.bin,ethylene_oxide_sp8_mld100_c8,singlepass,8,8,100,100000,0.82,129340,
ethylene_oxide_sp16_mld175_c8.bin,ethylene_oxide_sp16_mld175_c8,singlepass,8,16,175,10000,0.197,136380,
ethylene_oxide_sp16_mld175_c8.bin,ethylene_oxide_sp16_mld175_c8,singlepass,8,16,175,25000,0.552,136380,
ethylene_oxide_sp16_mld175_c8.bin,ethylene_oxide_sp16_mld175_c8,singlepass,8,16,175,50000,0.824,136380,
ethylene_oxide_sp16_mld175_c8.bin,ethylene_oxide_sp16_mld175_c8,singlepass,8,16,175,100000,0.828,136380,
ethylene_oxide_sp24_mld225_c8.bin,ethylene_oxide_sp24_mld225_c8,singlepass,8,24,225,10000,0.197,143420,
ethylene_oxide_sp24_mld225_c8.bin,ethylene_oxide_sp24_mld225_c8,singlepass,8,24,225,25000,0.552,143420,
ethylene_oxide_sp24_mld225_c8.bin,ethylene_oxide_sp24_mld225_c8,singlepass,8,24,225,50000,0.823,143420,
ethylene_oxide_sp24_mld225_c8.bin,ethylene_oxide_sp24_mld225_c8,singlepass,8,24,225,100000,0.829,143420,
ethylene_oxide_sp32_mld275_c8.bin,ethylene_oxide_sp32_mld275_c8,singlepass,8,32,275,10000,0.197,150460,
ethylene_oxide_sp32_mld275_c8.bin,ethylene_oxide_sp32_mld275_c8,singlepass,8,32,275,25000,0.551,150460,
ethylene_oxide_sp32_mld275_c8.bin,ethylene_oxide_sp32_mld275_c8,singlepass,8,32,275,50000,0.823,150460,
ethylene_oxide_sp32_mld275_c8.bin,ethylene_oxide_sp32_mld275_c8,singlepass,8,32,275,100000,0.829,150460,
grover_sat_eif_c8.bin,grover_sat_eif_c8,eif,8,0,,10000,0.134,352336,
grover_sat_eif_c8.bin,grover_sat_eif_c8,eif,8,0,,25000,0.224,352336,
grover_sat_eif_c8.bin,grover_sat_eif_c8,eif,8,0,,50000,0.258,352336,
grover_sat_eif_c8.bin,grover_sat_eif_c8,eif,8,0,,100000,0.267,352336,
grover_sat_sp4_mld50_c8.bin,grover_sat_sp4_mld50_c8,singlepass,8,4,50,10000,0.186,362276,
grover_sat_sp4_mld50_c8.bin,grover_sat_sp4_mld50_c8,singlepass,8,4,50,25000,0.509,362276,
grover_sat_sp4_mld50_c8.bin,grover_sat_sp4_mld50_c8,singlepass,8,4,50,50000,0.808,362276,
grover_sat_sp4_mld50_c8.bin,grover_sat_sp4_mld50_c8,singlepass,8,4,50,100000,0.922,362276,
grover_sat_sp8_mld100_c8.bin,grover_sat_sp8_mld100_c8,singlepass,8,8,100,10000,0.191,365796,
grover_sat_sp8_mld100_c8.bin,grover_sat_sp8_mld100_c8,singlepass,8,8,100,25000,0.559,365796,
grover_sat_sp8_mld100_c8.bin,grover_sat_sp8_mld100_c8,singlepass,8,8,100,50000,0.949,365796,
grover_sat_sp8_mld100_c8.bin,grover_sat_sp8_mld100_c8,singlepass,8,8,100,100000,1.109,365796,
grover_sat_sp16_mld175_c8.bin,grover_sat_sp16_mld175_c8,singlepass,8,16,175,10000,0.191,372836,
grover_sat_sp16_mld175_c8.bin,grover_sat_sp16_mld175_c8,singlepass,8,16,175,25000,0.555,372836,
grover_sat_sp16_mld175_c8.bin,grover_sat_sp16_mld175_c8,singlepass,8,16,175,50000,0.941,372836,
grover_sat_sp16_mld175_c8.bin,grover_sat_sp16_mld175_c8,singlepass,8,16,175,100000,1.098,372836,
grover_sat_sp24_mld225_c8.bin,grover_sat_sp24_mld225_c8,singlepass,8,24,225,10000,0.191,379876,
grover_sat_sp24_mld225_c8.bin,grover_sat_sp24_mld225_c8,singlepass,8,24,225,25000,0.565,379876,
grover_sat_sp24_mld225_c8.bin,grover_sat_sp24_mld225_c8,singlepass,8,24,225,50000,0.97,379876,
grover_sat_sp24_mld225_c8.bin,grover_sat_sp24_mld225_c8,singlepass,8,24,225,100000,1.143,379876,
grover_sat_sp32_mld275_c8.bin,grover_sat_sp32_mld275_c8,singlepass,8,32,275,10000,0.191,386916,
grover_sat_sp32_mld275_c8.bin,grover_sat_sp32_mld275_c8,singlepass,8,32,275,25000,0.555,386916,
grover_sat_sp32_mld275_c8.bin,grover_sat_sp32_mld275_c8,singlepass,8,32,275,50000,0.939,386916,
grover_sat_sp32_mld275_c8.bin,grover_sat_sp32_mld275_c8,singlepass,8,32,275,100000,1.098,386916,
h60_eif_c8.bin,h60_eif_c8,eif,8,0,,10000,0.09,88084,
h60_eif_c8.bin,h60_eif_c8,eif,8,0,,25000,0.128,88084,
h60_eif_c8.bin,h60_eif_c8,eif,8,0,,50000,0.137,88084,
h60_eif_c8.bin,h60_eif_c8,eif,8,0,,100000,0.138,88084,
h60_sp4_mld50_c8.bin,h60_sp4_mld50_c8,singlepass,8,4,50,10000,0.133,98024,
h60_sp4_mld50_c8.bin,h60_sp4_mld50_c8,singlepass,8,4,50,25000,0.234,98024,
h60_sp4_mld50_c8.bin,h60_sp4_mld50_c8,singlepass,8,4,50,50000,0.265,98024,
h60_sp4_mld50_c8.bin,h60_sp4_mld50_c8,singlepass,8,4,50,100000,0.267,98024,
h60_sp8_mld100_c8.bin,h60_sp8_mld100_c8,singlepass,8,8,100,10000,0.14,101544,
h60_sp8_mld100_c8.bin,h60_sp8_mld100_c8,singlepass,8,8,100,25000,0.262,101544,
h60_sp8_mld100_c8.bin,h60_sp8_mld100_c8,singlepass,8,8,100,50000,0.297,101544,
h60_sp8_mld100_c8.bin,h60_sp8_mld100_c8,singlepass,8,8,100,100000,0.299,101544,
h60_sp16_mld175_c8.bin,h60_sp16_mld175_c8,singlepass,8,16,175,10000,0.167,74216,
h60_sp16_mld175_c8.bin,h60_sp16_mld175_c8,singlepass,8,16,175,25000,0.39,74216,
h60_sp16_mld175_c8.bin,h60_sp16_mld175_c8,singlepass,8,16,175,50000,0.522,74216,
h60_sp16_mld175_c8.bin,h60_sp16_mld175_c8,singlepass,8,16,175,100000,0.527,74216,
h60_sp24_mld225_c8.bin,h60_sp24_mld225_c8,singlepass,8,24,225,10000,0.181,81256,
h60_sp24_mld225_c8.bin,h60_sp24_mld225_c8,singlepass,8,24,225,25000,0.484,81256,
h60_sp24_mld225_c8.bin,h60_sp24_mld225_c8,singlepass,8,24,225,50000,0.737,81256,
h60_sp24_mld225_c8.bin,h60_sp24_mld225_c8,singlepass,8,24,225,100000,0.754,81256,
h60_sp32_mld275_c8.bin,h60_sp32_mld275_c8,singlepass,8,32,275,10000,0.183,88296,
h60_sp32_mld275_c8.bin,h60_sp32_mld275_c8,singlepass,8,32,275,25000,0.494,88296,
h60_sp32_mld275_c8.bin,h60_sp32_mld275_c8,singlepass,8,32,275,50000,0.78,88296,
h60_sp32_mld275_c8.bin,h60_sp32_mld275_c8,singlepass,8,32,275,100000,0.802,88296,
hc3h2cn_eif_c8.bin,hc3h2cn_eif_c8,eif,8,0,,10000,0.112,141800,
hc3h2cn_eif_c8.bin,hc3h2cn_eif_c8,eif,8,0,,25000,0.16,141800,
hc3h2cn_eif_c8.bin,hc3h2cn_eif_c8,eif,8,0,,50000,0.169,141800,
hc3h2cn_eif_c8.bin,hc3h2cn_eif_c8,eif,8,0,,100000,0.169,141800,
hc3h2cn_sp4_mld50_c8.bin,hc3h2cn_sp4_mld50_c8,singlepass,8,4,50,10000,0.197,151740,
hc3h2cn_sp4_mld50_c8.bin,hc3h2cn_sp4_mld50_c8,singlepass,8,4,50,25000,0.516,151740,
hc3h2cn_sp4_mld50_c8.bin,hc3h2cn_sp4_mld50_c8,singlepass,8,4,50,50000,0.664,151740,
hc3h2cn_sp4_mld50_c8.bin,hc3h2cn_sp4_mld50_c8,singlepass,8,4,50,100000,0.66,151740,
hc3h2cn_sp8_mld100_c8.bin,hc3h2cn_sp8_mld100_c8,singlepass,8,8,100,10000,0.199,155260,
hc3h2cn_sp8_mld100_c8.bin,hc3h2cn_sp8_mld100_c8,singlepass,8,8,100,25000,0.557,155260,
hc3h2cn_sp8_mld100_c8.bin,hc3h2cn_sp8_mld100_c8,singlepass,8,8,100,50000,0.761,155260,
hc3h2cn_sp8_mld100_c8.bin,hc3h2cn_sp8_mld100_c8,singlepass,8,8,100,100000,0.767,155260,
hc3h2cn_sp16_mld175_c8.bin,hc3h2cn_sp16_mld175_c8,singlepass,8,16,175,10000,0.199,162300,
hc3h2cn_sp16_mld175_c8.bin,hc3h2cn_sp16_mld175_c8,singlepass,8,16,175,25000,0.564,162300,
hc3h2cn_sp16_mld175_c8.bin,hc3h2cn_sp16_mld175_c8,singlepass,8,16,175,50000,0.772,162300,
hc3h2cn_sp16_mld175_c8.bin,hc3h2cn_sp16_mld175_c8,singlepass,8,16,175,100000,0.778,162300,
hc3h2cn_sp24_mld225_c8.bin,hc3h2cn_sp24_mld225_c8,singlepass,8,24,225,10000,0.199,169340,
hc3h2cn_sp24_mld225_c8.bin,hc3h2cn_sp24_mld225_c8,singlepass,8,24,225,25000,0.566,169340,
hc3h2cn_sp24_mld225_c8.bin,hc3h2cn_sp24_mld225_c8,singlepass,8,24,225,50000,0.789,169340,
hc3h2cn_sp24_mld225_c8.bin,hc3h2cn_sp24_mld225_c8,singlepass,8,24,225,100000,0.789,169340,
hc3h2cn_sp32_mld275_c8.bin,hc3h2cn_sp32_mld275_c8,singlepass,8,32,275,10000,0.199,176380,
hc3h2cn_sp32_mld275_c8.bin,hc3h2cn_sp32_mld275_c8,singlepass,8,32,275,25000,0.568,176380,
hc3h2cn_sp32_mld275_c8.bin,hc3h2cn_sp32_mld275_c8,singlepass,8,32,275,50000,0.797,176380,
hc3h2cn_sp32_mld275_c8.bin,hc3h2cn_sp32_mld275_c8,singlepass,8,32,275,100000,0.806,176380,
shor_rsa24_eif_c8.bin,shor_rsa24_eif_c8,eif,8,0,,10000,0.152,88084,
shor_rsa24_eif_c8.bin,shor_rsa24_eif_c8,eif,8,0,,25000,0.271,88084,
shor_rsa24_eif_c8.bin,shor_rsa24_eif_c8,eif,8,0,,50000,0.294,88084,
shor_rsa24_eif_c8.bin,shor_rsa24_eif_c8,eif,8,0,,100000,0.295,88084,
shor_rsa24_sp4_mld50_c8.bin,shor_rsa24_sp4_mld50_c8,singlepass,8,4,50,10000,0.176,98024,
shor_rsa24_sp4_mld50_c8.bin,shor_rsa24_sp4_mld50_c8,singlepass,8,4,50,25000,0.454,98024,
shor_rsa24_sp4_mld50_c8.bin,shor_rsa24_sp4_mld50_c8,singlepass,8,4,50,50000,0.673,98024,
shor_rsa24_sp4_mld50_c8.bin,shor_rsa24_sp4_mld50_c8,singlepass,8,4,50,100000,0.717,98024,
shor_rsa24_sp8_mld100_c8.bin,shor_rsa24_sp8_mld100_c8,singlepass,8,8,100,10000,0.181,67176,
shor_rsa24_sp8_mld100_c8.bin,shor_rsa24_sp8_mld100_c8,singlepass,8,8,100,25000,0.49,67176,
shor_rsa24_sp8_mld100_c8.bin,shor_rsa24_sp8_mld100_c8,singlepass,8,8,100,50000,0.755,67176,
shor_rsa24_sp8_mld100_c8.bin,shor_rsa24_sp8_mld100_c8,singlepass,8,8,100,100000,0.813,67176,
shor_rsa24_sp16_mld175_c8.bin,shor_rsa24_sp16_mld175_c8,singlepass,8,16,175,10000,0.183,74216,
shor_rsa24_sp16_mld175_c8.bin,shor_rsa24_sp16_mld175_c8,singlepass,8,16,175,25000,0.508,74216,
shor_rsa24_sp16_mld175_c8.bin,shor_rsa24_sp16_mld175_c8,singlepass,8,16,175,50000,0.798,74216,
shor_rsa24_sp16_mld175_c8.bin,shor_rsa24_sp16_mld175_c8,singlepass,8,16,175,100000,0.862,74216,
shor_rsa24_sp24_mld225_c8.bin,shor_rsa24_sp24_mld225_c8,singlepass,8,24,225,10000,0.184,81256,
shor_rsa24_sp24_mld225_c8.bin,shor_rsa24_sp24_mld225_c8,singlepass,8,24,225,25000,0.514,81256,
shor_rsa24_sp24_mld225_c8.bin,shor_rsa24_sp24_mld225_c8,singlepass,8,24,225,50000,0.812,81256,
shor_rsa24_sp24_mld225_c8.bin,shor_rsa24_sp24_mld225_c8,singlepass,8,24,225,100000,0.878,81256,
shor_rsa24_sp32_mld275_c8.bin,shor_rsa24_sp32_mld275_c8,singlepass,8,32,275,10000,0.185,88296,
shor_rsa24_sp32_mld275_c8.bin,shor_rsa24_sp32_mld275_c8,singlepass,8,32,275,25000,0.525,88296,
shor_rsa24_sp32_mld275_c8.bin,shor_rsa24_sp32_mld275_c8,singlepass,8,32,275,50000,0.841,88296,
shor_rsa24_sp32_mld275_c8.bin,shor_rsa24_sp32_mld275_c8,singlepass,8,32,275,100000,0.913,88296,
