benchmark,raw_file,active_set_capacity,sim_instructions,scheduler,intermediate_capacity,min_layer_distance,compile_mem_accesses,compile_prefetch_coverage,baseline_ipc,baseline_mem_phys_qubits,ipc,mem_phys_qubits,sim_miss_rate_pct,prefetch_ready_on_load_pct
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,eif_baseline,0,0,766704,,0.669,0,0.08,88084,,
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,0,766778,0.97,0.669,0,0.079,98024,,24.373233429780402
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,25,766834,0.829,0.669,0,0.101,98024,,35.10190752444436
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,50,766682,0.584,0.669,0,0.158,98024,,89.73598338771878
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,75,766756,0.447,0.669,0,0.132,98024,,96.27387866489399
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,100,766810,0.362,0.669,0,0.115,98024,,98.30968910353154
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,125,766783,0.301,0.669,0,0.105,98024,,98.45162631196092
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,150,766815,0.266,0.669,0,0.099,98024,,98.28371900337338
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,175,766706,0.242,0.669,0,0.097,98024,,98.79895561357702
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,200,766718,0.227,0.669,0,0.095,98024,,99.23706478013594
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,225,766884,0.218,0.669,0,0.094,98024,,99.45910861099091
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,250,766769,0.21,0.669,0,0.093,98024,,99.47321561062472
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,275,766678,0.206,0.669,0,0.093,98024,,99.38491912825575
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,4,300,766719,0.201,0.669,0,0.092,98024,,99.36280985313545
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,0,766676,0.992,0.669,0,0.091,101544,,37.79083085179489
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,25,766704,0.979,0.669,0,0.092,101544,,37.72502603607029
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,50,766791,0.911,0.669,0,0.107,101544,,44.05535009643799
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,75,766759,0.802,0.669,0,0.157,101544,,69.18813302496211
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,100,766921,0.683,0.669,0,0.186,101544,,91.89012579056687
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,125,766836,0.588,0.669,0,0.157,101544,,98.29386437029063
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,150,766924,0.526,0.669,0,0.137,101544,,98.68630215050538
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,175,766761,0.484,0.669,0,0.127,101544,,98.78408495018354
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,200,766807,0.456,0.669,0,0.121,101544,,99.1220186657449
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,225,766774,0.438,0.669,0,0.119,101544,,99.33713139130747
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,250,766888,0.425,0.669,0,0.117,101544,,99.4052676295667
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,275,766786,0.414,0.669,0,0.115,101544,,99.4243950467679
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,8,300,766878,0.404,0.669,0,0.113,101544,,99.45270348950045
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,16,0,766739,0.999,0.669,0,0.165,108584,,74.57668040175122
cr2,BQ_e_cr2_120_d100_t1M_T5M.xz,4,1000000,singlepass_eif,16,25,766837,0.997,0.669,0,0.166,108584,,74.67909436883184
