benchmark,baseline_avg_delay_2d_cold_non_clifford_ready_cycles,cache_avg_delay_2d_cold_non_clifford_ready_cycles,prefetch_avg_delay_2d_cold_non_clifford_ready_cycles,baseline_avg_delay_1d_non_clifford_ready_cycles,cache_avg_delay_1d_non_clifford_ready_cycles,prefetch_avg_delay_1d_non_clifford_ready_cycles,baseline_loads_1d_already_verified,cache_loads_1d_already_verified,prefetch_loads_1d_already_verified,baseline_loads_1d_waited_for_verification,cache_loads_1d_waited_for_verification,prefetch_loads_1d_waited_for_verification,baseline_loads_2d_cold_reached_non_clifford_ready,cache_loads_2d_cold_reached_non_clifford_ready,prefetch_loads_2d_cold_reached_non_clifford_ready,baseline_instruction_front_layer_delay_non_clifford_readiness_percent,cache_instruction_front_layer_delay_non_clifford_readiness_percent,prefetch_instruction_front_layer_delay_non_clifford_readiness_percent,baseline_cycles_stalled_non_clifford_readiness_percent,cache_cycles_stalled_non_clifford_readiness_percent,prefetch_cycles_stalled_non_clifford_readiness_percent
bose_hubbard_q,194.195,193.163,0.0,0.0,0.0,120.937,0,4076616,4062329,0,0,192953,4399796,323180,0,79.384,24.396,11.708,58.381,21.122,10.668
bose_hubbard_t,193.784,193.059,0.0,0.0,0.0,172.25,0,1310260,1334913,0,0,4,1334604,25385,0,63.243,2.374,0.0,54.198,2.362,0.0
chromium_q_prepare,198.138,195.901,0.0,0.0,0.0,113.146,0,4271065,4438026,0,0,48689,4498427,227362,0,79.207,15.1,3.028,53.124,13.802,2.844
chromium_q_select,195.111,193.97,0.0,0.0,0.0,173.628,0,21852978,25192398,0,0,7892916,48414469,26572471,0,92.683,88.296,73.199,87.451,71.422,61.302
chromium_t,195.828,194.407,234.208,0.0,0.0,174.324,0,4306334,6118840,0,0,1494988,8151499,3862866,1544,87.381,77.758,54.956,86.122,63.314,47.963
ethylene_oxide_q_prepare,197.192,194.535,0.0,0.0,0.0,125.877,0,2992023,3137465,0,0,47635,3194197,202175,0,76.645,16.216,2.897,52.078,14.886,2.812
ethylene_oxide_q_select,195.262,194.439,0.0,0.0,0.0,133.881,0,24987657,22945188,0,0,4138690,29574740,4587287,0,91.346,62.622,53.533,72.821,48.078,44.984
ethylene_oxide_t,196.047,193.467,0.0,0.0,172.5,146.947,0,2199223,2347073,0,2,114,2333477,149524,0,71.596,4.127,0.005,64.727,4.067,0.005
grover_3sat,194.617,193.567,195.969,0.0,77.617,121.827,0,1252247,1637241,0,588,116751,1745689,506175,192,66.898,30.964,6.2,57.91,28.709,6.557
shor_rsa24,195.583,197.823,0.0,0.0,0.0,178.613,0,1067340,1435173,0,0,298339,1746058,678718,0,66.731,41.604,20.282,56.299,36.244,21.547
